 EventID   CumTr  TrackID  Layer        X_mm        Y_mm        Z_mm    pTot_MeV       Eta       Phi     Theta   Charge   Energy_MeV    Edep_MeV    PDG_ID
       0       4      367     44     402.606   -1329.402    4884.610       0.091    0.6916   -2.9586    0.9286      0.0        0.091    0.000000        22
       0       4      383     39     362.965   -1163.966    4473.360       0.638    1.7527    1.6307    0.3432      0.0        0.638    0.000000        22
       0       4      394     39     268.070   -1230.360    4473.360       0.493    0.7591   -1.4573    0.8756      0.0        0.493    0.000000        22
       0       4      395     39     268.593   -1200.236    4473.360       0.109    2.3832   -3.0022    0.1840      0.0        0.109    0.000000        22
       0       4      397     38     332.665   -1215.910    4391.410       0.150   -1.9734   -1.0292    2.8654      0.0        0.150    0.000000        22
       0       4      457     34     277.134   -1112.568    4119.710       0.128    0.3894    2.6154    1.1909      0.0        0.128    0.000000        22
       0       4      459     34     288.344   -1110.807    4119.710       0.376    2.2468   -2.1923    0.2107      0.0        0.376    0.000000        22
       0       4      461     34     279.168   -1123.878    4119.710       0.056    0.4887   -2.1149    1.1005      0.0        0.056    0.000000        22
       0       4      463     34     281.757   -1121.489    4119.710       4.462    1.2264   -1.7743    0.5707     -1.0        3.980    0.093366        11
       0       4      466     34     273.689   -1111.712    4120.010       0.115   -1.3774    1.0051    2.6474      0.0        0.115    0.000000        22
       0       4      505     30     289.153   -1121.113    3867.810       0.178   -0.8081   -2.1712    2.3031      0.0        0.178    0.000000        22
       0       4      514     30     260.900   -1033.698    3867.510       7.959    2.1350    1.7708    0.2354      0.0        7.959    0.000000        22
       0       4      516     30     261.049   -1042.977    3867.510       0.137    1.2717   -1.6020    0.5467      0.0        0.137    0.000000        22
       0       4      523     30     266.959   -1013.117    3867.810       0.403   -0.7114    1.3098    2.2288      0.0        0.403    0.000000        22
       0       4      524     30     242.867   -1042.389    3867.810       0.224   -1.4491    1.8475    2.6804      0.0        0.224    0.000000        22
       0       4      569     27     277.290    -996.334    3678.360       0.355    0.7228   -0.4415    0.9038      0.0        0.355    0.000000        22
       0       4      585     19     234.984    -940.395    3499.780       0.771    1.8339   -1.6095    0.3169      0.0        0.771    0.000000        22
       0       4      585     20     234.858    -943.652    3509.720       0.771    1.8339   -1.6095    0.3169      0.0        0.771    0.000000        22
       0       4      585     21     229.433    -942.607    3533.600       0.474    1.0092    2.3040    0.6991      0.0        0.474    0.000000        22
       0       4      585     22     223.840    -936.398    3543.540       0.474    1.0092    2.3040    0.6991      0.0        0.474    0.000000        22
       0       4      586     19     234.849    -940.267    3499.780       1.416    1.8753   -1.6632    0.3042      0.0        1.416    0.000000        22
       0       4      586     20     234.561    -943.375    3509.720       1.416    1.8753   -1.6632    0.3042      0.0        1.416    0.000000        22
       0       4      586     21     232.448    -946.695    3533.600       1.151    2.3765    2.6589    0.1852      0.0        1.151    0.000000        22
       0       4      586     22     231.746    -945.764    3543.540       0.776    1.3284    0.2435    0.5179      0.0        0.776    0.000000        22
       0       4      586     23     244.951    -942.484    3567.420       0.776    1.3284    0.2435    0.5179      0.0        0.776    0.000000        22
       0       4      586     24     250.447    -941.118    3577.360       0.776    1.3284    0.2435    0.5179      0.0        0.776    0.000000        22
       0       4      586     25     263.652    -937.838    3601.240       0.776    1.3284    0.2435    0.5179      0.0        0.776    0.000000        22
       0       4      586     26     269.148    -936.473    3611.180       0.776    1.3284    0.2435    0.5179      0.0        0.776    0.000000        22
       0       4      587     19     235.421    -939.733    3499.780       5.533    2.1027   -1.3835    0.2430      0.0        5.533    0.000000        22
       0       4      587     20     235.880    -942.154    3509.720       5.533    2.1027   -1.3835    0.2430      0.0        5.533    0.000000        22
       0       4      587     21     236.982    -947.972    3533.600       5.533    2.1027   -1.3835    0.2430      0.0        5.533    0.000000        22
       0       4      587     22     237.441    -950.393    3543.540       5.533    2.1027   -1.3835    0.2430      0.0        5.533    0.000000        22
       0       4      587     23     238.543    -956.211    3567.420       5.533    2.1027   -1.3835    0.2430      0.0        5.533    0.000000        22
       0       4      587     24     239.002    -958.632    3577.360       5.533    2.1027   -1.3835    0.2430      0.0        5.533    0.000000        22
       0       4      587     25     240.104    -964.450    3601.240       5.533    2.1027   -1.3835    0.2430      0.0        5.533    0.000000        22
       0       4      587     26     240.563    -966.871    3611.180       5.533    2.1027   -1.3835    0.2430      0.0        5.533    0.000000        22
       0       4      588     20     231.390    -941.693    3509.720       0.250    0.4589   -3.0665    1.1272      0.0        0.250    0.000000        22
       0       4      589     20     237.615    -942.386    3509.720       1.529    1.3124   -0.7549    0.5259      0.0        1.529    0.000000        22
       0       4      589     21     246.213    -948.575    3533.600       1.451    1.6944   -0.5251    0.3634      0.0        1.451    0.000000        22
       0       4      589     22     249.484    -950.470    3543.540       1.451    1.6944   -0.5251    0.3634      0.0        1.451    0.000000        22
       0       4      589     23     257.341    -955.023    3567.420       1.451    1.6944   -0.5251    0.3634      0.0        1.451    0.000000        22
       0       4      589     24     260.769    -926.265    3577.360       0.295    1.2141    1.5398    0.5774      0.0        0.295    0.000000        22
       0       4      591     20     236.207    -940.059    3509.720      15.415    2.7558    0.4720    0.1269      0.0       15.415    0.000000        22
       0       4      592     20     236.056    -940.048    3509.720       0.501    3.0980    0.7746    0.0902      0.0        0.501    0.000000        22
